idea,name,n,asset,tpy,ret,sharpe,dd,bh,verdict
IDEA-001,Golden Cross 50/200,3,QQQ,1.2,+387%,0.75,-28%,+543%/-37%,FAIL
IDEA-002,200-day SMA filter,4,SPY,5.8,+145%,0.59,-24%,+334%/-32%,FAIL
IDEA-003,12-mo TS momentum,2,SPY,0.7,+214%,0.61,-32%,+334%/-32%,FAIL
IDEA-004,XS momentum 12-1 top decile,1,9 SPDR sectors,3.9,+436%,0.65,-31%,+343%/-35%,PASS
IDEA-005,Dual momentum (Antonacci),1,SPY/EFA/AGG,1.5,+127%,0.44,-32%,+126%/-24%,FAIL
IDEA-006,MACD trend 12/26/9,2,SPY,20.7,+111%,0.55,-16%,+334%/-32%,FAIL
IDEA-007,Parabolic SAR,1,GLD,20.4,+34%,0.19,-40%,+54%/-45%,FAIL
IDEA-008,Triple EMA 4/9/18,2,SPY,20.6,+68%,0.41,-16%,+334%/-32%,FAIL
IDEA-009,52wk-high momentum rotation,1,9 SPDR sectors,9.1,+159%,0.56,-32%,+343%/-35%,FAIL
IDEA-010,ADX/DMI system,1,GLD,2.9,+5%,-0.06,-9%,+54%/-45%,FAIL
IDEA-011,RSI(2) reversion (Connors),2,SPY,15.6,+53%,0.43,-14%,+334%/-32%,FAIL
IDEA-012,Bollinger reversion,1,SPY,9.2,+99%,0.48,-27%,+334%/-32%,FAIL
IDEA-014,IBS reversion,2,SPY,70.2,+71% (2x +43% / 3x +19%),0.43,-20%,+334%/-32%,FAIL
IDEA-015,Williams %R bounce,1,SPY,11.6,+76%,0.42,-24%,+334%/-32%,FAIL
IDEA-016,MA envelope fade (short),1,SPY,1.4,+1%,-0.11,-9%,+334%/-32%,FAIL
IDEA-018,Stochastic reversion,1,SPY,11.8,+118%,0.51,-26%,+334%/-32%,FAIL
IDEA-019,Pairs z-score reversion,2,XLE/XLB,7.5,-17%,-0.20,-32%,+183%/-52%,FAIL
IDEA-020,Donchian 20/10 (Turtle 1),2,SPY,8.4,+169%,0.81,-8%,+334%/-32%,FAIL
IDEA-021,Donchian 55/20 (Turtle 2),2,SPY,5.5,+44%,0.30,-17%,+334%/-32%,FAIL
IDEA-022,52wk-high breakout,2,AAPL,3.9,+334%,0.75,-30%,+1875%/-44%,FAIL
IDEA-023,ATR volatility breakout,1,GLD,9.2,-49%,-0.30,-73%,+54%/-45%,FAIL
IDEA-024,Bollinger squeeze breakout,1,GLD,1.4,+7%,-0.02,-10%,+54%/-45%,FAIL
